start,end
3, 10
3, 1
3, 4
3, 12
7, 10
7, 1
7, 4
9, 7
9, 10
9, 1
9, 4
6, 3
6, 10
6, 1
6, 4
6, 9
6, 14
6, 5
6, 8
6, 13
6, 0
6, 12
14, 10
14, 1
14, 4
14, 9
14, 0
11, 3
11, 10
11, 1
11, 4
5, 3
5, 10
5, 1
5, 4
5, 11
5, 2
8, 3
8, 14
8, 5
8, 12
2, 7
2, 10
2, 1
2, 4
13, 10
13, 1
13, 4
13, 14
13, 8
13, 0
13, 12
0, 10
0, 1
0, 4
0, 9
0, 2
12, 10
12, 1
12, 4
12, 9
12, 14
12, 0
 10,3
 1,3
 4,3
 12,3
 10,7
 1,7
 4,7
 7,9
 10,9
 1,9
 4,9
 3,6
 10,6
 1,6
 4,6
 9,6
 14,6
 5,6
 8,6
 13,6
 0,6
 12,6
 10,14
 1,14
 4,14
 9,14
 0,14
 3,11
 10,11
 1,11
 4,11
 3,5
 10,5
 1,5
 4,5
 11,5
 2,5
 3,8
 14,8
 5,8
 12,8
 7,2
 10,2
 1,2
 4,2
 10,13
 1,13
 4,13
 14,13
 8,13
 0,13
 12,13
 10,0
 1,0
 4,0
 9,0
 2,0
 10,12
 1,12
 4,12
 9,12
 14,12
 0,12
0,9
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,0
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
