start,end
8,9
8,5
8,3
9,4
9,7
9,10
9,1
6,8
6,9
6,12
6,4
6,5
6,10
6,3
6,1
2,4
2,7
2,10
2,1
1,8
1,9
1,4
12,10
1,1
0,9
0,6
0,2
0,12
0,4
0,10
0,1
1,4
11,10
1,3
1,1
5,2
5,11
5,4
5,10
5,3
5,1
7,4
7,10
7,1
3,4
3,10
3,1
9,8
5,8
3,8
4,9
7,9
10,9
1,9
8,6
9,6
12,6
4,6
5,6
10,6
3,6
1,6
4,2
7,2
10,2
1,2
8,1
9,1
4,1
10,12
1,1
9,0
6,0
2,0
12,0
4,0
10,0
1,0
4,1
10,11
3,1
1,1
2,5
11,5
4,5
10,5
3,5
1,5
4,7
10,7
1,7
4,3
10,3
1,3
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,0
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
